date_releve,reference,marque,modele,finition,titre,condition,apport,energie,transmission,km,prix_mensuel,url
2026-09-15T14:43:18,ves00441258,jeep,renegade,15-turbo-t4-130-ch-bvr7-e-hybrid-altitude,JEEP Renegade 1.5 Turbo T4 130 ch BVR7 e-Hybrid Altitude,occasion,SANS APPORT,Essence,Automatique,20459,360,https://auto-dispo.cic-leasing.fr/leasing-voiture/jeep/renegade/15-turbo-t4-130-ch-bvr7-e-hybrid-altitude-ves00441258?apport=sans
2026-09-15T14:43:18,ves00453739,volkswagen,taigo,10-tsi-116-dsg7-r-line,VOLKSWAGEN Taigo 1.0 TSI 116 DSG7 R-Line,occasion,SANS APPORT,Essence,Automatique,10779,361,https://auto-dispo.cic-leasing.fr/leasing-voiture/volkswagen/taigo/10-tsi-116-dsg7-r-line-ves00453739?apport=sans
2026-09-15T14:43:18,ves00451260,citroen,c3-aircross-ii,hybride-145-ch-aut-max,SANS APPORT CITROEN C3 Aircross II,,,Hybride,Automatique,10,361,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-aircross-ii/hybride-145-ch-aut-max-ves00451260?apport=sans
2026-09-15T14:43:18,ves00454650,citroen,c4,hybride-145-ch-e-dcs6-max,SANS APPORT CITROEN C4,,,Hybride,Automatique,10,361,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c4/hybride-145-ch-e-dcs6-max-ves00454650?apport=sans
2026-09-15T14:43:18,ves00453741,volkswagen,taigo,10-tsi-116-dsg7-r-line,VOLKSWAGEN Taigo 1.0 TSI 116 DSG7 R-Line,occasion,SANS APPORT,Essence,Automatique,11590,361,https://auto-dispo.cic-leasing.fr/leasing-voiture/volkswagen/taigo/10-tsi-116-dsg7-r-line-ves00453741?apport=sans
2026-09-15T14:43:18,ves00461533,mg,zs-iii,15-l-hybrid-197-ch-luxury,SANS APPORT MG ZS III 1.5 L Hybrid+ 197 ch Luxury,,,Hybride,Automatique,10,361,https://auto-dispo.cic-leasing.fr/leasing-voiture/mg/zs-iii/15-l-hybrid-197-ch-luxury-ves00461533?apport=sans
2026-09-15T14:43:18,ves00458449,volkswagen,taigo,10-tsi-116-dsg7-r-line,VOLKSWAGEN Taigo 1.0 TSI 116 DSG7 R-Line,occasion,SANS APPORT,Essence,Automatique,11572,361,https://auto-dispo.cic-leasing.fr/leasing-voiture/volkswagen/taigo/10-tsi-116-dsg7-r-line-ves00458449?apport=sans
2026-09-15T14:43:18,ves00453723,volkswagen,taigo,10-tsi-116-dsg7-r-line,VOLKSWAGEN Taigo 1.0 TSI 116 DSG7 R-Line,occasion,SANS APPORT,Essence,Automatique,11685,361,https://auto-dispo.cic-leasing.fr/leasing-voiture/volkswagen/taigo/10-tsi-116-dsg7-r-line-ves00453723?apport=sans
2026-09-15T14:43:18,ves00451647,peugeot,308-sw-iii,hybrid-145-e-dcs6-allure,PEUGEOT 308 SW III Hybrid 145 e-DCS6 Allure,occasion,SANS APPORT,Hybride,Automatique,8827,361,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/308-sw-iii/hybrid-145-e-dcs6-allure-ves00451647?apport=sans
2026-09-15T14:43:18,ves00454158,opel,frontera-electrique,electric-113-ch-batterie-44-kwh-gs,OPEL Frontera,occasion,SANS APPORT,Electrique,Automatique,4525,362,https://auto-dispo.cic-leasing.fr/leasing-voiture/opel/frontera-electrique/electric-113-ch-batterie-44-kwh-gs-ves00454158?apport=sans
2026-09-15T14:43:18,ves00447889,volkswagen,taigo,10-tsi-116-dsg7-r-line,VOLKSWAGEN Taigo 1.0 TSI 116 DSG7 R-Line,occasion,SANS APPORT,Essence,Automatique,13100,362,https://auto-dispo.cic-leasing.fr/leasing-voiture/volkswagen/taigo/10-tsi-116-dsg7-r-line-ves00447889?apport=sans
2026-09-15T14:43:18,ves00462464,nissan,juke-ii,hybrid-143-n-connecta,SANS APPORT NISSAN Juke II HYBRID 143 N-Connecta,,,Hybride,Automatique,100,362,https://auto-dispo.cic-leasing.fr/leasing-voiture/nissan/juke-ii/hybrid-143-n-connecta-ves00462464?apport=sans
2026-09-15T14:43:18,ves00449730,ds,ds4-ii,bluehdi-130-eat8-etoile-cuir-nappa,DS DS4 II BlueHDi 130 EAT8 Etoile - Cuir Nappa,occasion,SANS APPORT,Diesel,Automatique,4509,362,https://auto-dispo.cic-leasing.fr/leasing-voiture/ds/ds4-ii/bluehdi-130-eat8-etoile-cuir-nappa-ves00449730?apport=sans
2026-09-15T14:43:18,ves00462458,nissan,juke-ii,hybrid-143-n-connecta,SANS APPORT NISSAN Juke II HYBRID 143 N-Connecta,,,Hybride,Automatique,100,363,https://auto-dispo.cic-leasing.fr/leasing-voiture/nissan/juke-ii/hybrid-143-n-connecta-ves00462458?apport=sans
2026-09-15T14:43:18,ves00449938,mg,zs-iii,15-l-hybrid-197-ch-luxury,SANS APPORT MG ZS III 1.5 L Hybrid+ 197 ch Luxury,,,Hybride,Automatique,10,363,https://auto-dispo.cic-leasing.fr/leasing-voiture/mg/zs-iii/15-l-hybrid-197-ch-luxury-ves00449938?apport=sans
2026-09-15T14:43:18,ves00458619,renault,symbioz,e-tech-full-hybrid-145-esprit-alpine,RENAULT Symbioz E-Tech full hybrid 145 Esprit Alpine,occasion,SANS APPORT,Hybride,Automatique,29367,363,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/symbioz/e-tech-full-hybrid-145-esprit-alpine-ves00458619?apport=sans
2026-09-15T14:43:18,ves00460167,citroen,c5-aircross,hybride-145-e-dcs6-max,CITROEN C5 AIRCROSS,occasion,SANS APPORT,Hybride,Automatique,18854,363,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c5-aircross/hybride-145-e-dcs6-max-ves00460167?apport=sans
2026-09-15T14:43:18,ves00462461,nissan,juke-ii,hybrid-143-n-connecta,SANS APPORT NISSAN Juke II HYBRID 143 N-Connecta,,,Hybride,Automatique,100,363,https://auto-dispo.cic-leasing.fr/leasing-voiture/nissan/juke-ii/hybrid-143-n-connecta-ves00462461?apport=sans
2026-09-15T14:43:18,ves00455837,peugeot,2008-ii,hybrid-145-e-dcs6-allure,SANS APPORT PEUGEOT 2008 II Hybrid 145 e-DCS6 Allure,,,Hybride,Automatique,10,364,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/hybrid-145-e-dcs6-allure-ves00455837?apport=sans
2026-09-15T14:43:18,ves00455445,citroen,e-c3-aircross-ii,113-autonomie-confort-max,CITROEN e-C3 Aircross II 113 autonomie confort Max,occasion,SANS APPORT,Electrique,Automatique,13580,364,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/e-c3-aircross-ii/113-autonomie-confort-max-ves00455445?apport=sans
2026-09-15T14:43:18,ves00451186,citroen,e-c3-aircross-ii,113-autonomie-confort-max,CITROEN e-C3 Aircross II 113 autonomie confort Max,occasion,SANS APPORT,Electrique,Automatique,15982,364,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/e-c3-aircross-ii/113-autonomie-confort-max-ves00451186?apport=sans
2026-09-15T14:43:18,ves00453136,citroen,c5-aircross,hybride-145-e-dcs6-max,CITROEN C5 AIRCROSS,occasion,SANS APPORT,Hybride,Automatique,28060,364,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c5-aircross/hybride-145-e-dcs6-max-ves00453136?apport=sans
2026-09-15T14:43:18,ves00452425,nissan,juke-ii,hybrid-143-n-connecta,SANS APPORT NISSAN Juke II HYBRID 143 N-Connecta,,,Hybride,Automatique,100,364,https://auto-dispo.cic-leasing.fr/leasing-voiture/nissan/juke-ii/hybrid-143-n-connecta-ves00452425?apport=sans
2026-09-15T14:43:18,ves00455222,peugeot,308-sw-iii,hybrid-145-e-dcs6-allure,PEUGEOT 308 SW III Hybrid 145 e-DCS6 Allure,occasion,SANS APPORT,Hybride,Automatique,17836,365,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/308-sw-iii/hybrid-145-e-dcs6-allure-ves00455222?apport=sans
2026-09-15T14:43:18,ves00452434,nissan,juke-ii,hybrid-143-n-connecta,SANS APPORT NISSAN Juke II HYBRID 143 N-Connecta,,,Hybride,Automatique,100,365,https://auto-dispo.cic-leasing.fr/leasing-voiture/nissan/juke-ii/hybrid-143-n-connecta-ves00452434?apport=sans
2026-09-15T14:43:18,ves00459518,citroen,c5-aircross,hybride-145-e-dcs6-max,CITROEN C5 AIRCROSS,occasion,SANS APPORT,Hybride,Automatique,27719,365,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c5-aircross/hybride-145-e-dcs6-max-ves00459518?apport=sans
2026-09-15T14:43:18,ves00455492,mg,ehs-ii,15-hybrid-224-ch-luxury,SANS APPORT MG EHS II 1.5 Hybrid+ 224 ch Luxury,,,Hybride,Automatique,100,365,https://auto-dispo.cic-leasing.fr/leasing-voiture/mg/ehs-ii/15-hybrid-224-ch-luxury-ves00455492?apport=sans
2026-09-15T14:43:18,ves00461693,citroen,c5-aircross,hybride-145-e-dcs6-max,CITROEN C5 AIRCROSS,occasion,SANS APPORT,Hybride,Automatique,27212,365,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c5-aircross/hybride-145-e-dcs6-max-ves00461693?apport=sans
2026-09-15T14:43:18,ves00454651,citroen,c4,hybride-145-ch-e-dcs6-max,SANS APPORT CITROEN C4,,,Hybride,Automatique,10,366,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c4/hybride-145-ch-e-dcs6-max-ves00454651?apport=sans
2026-09-15T14:43:18,ves00462462,nissan,juke-ii,hybrid-143-n-connecta,SANS APPORT NISSAN Juke II HYBRID 143 N-Connecta,,,Hybride,Automatique,100,366,https://auto-dispo.cic-leasing.fr/leasing-voiture/nissan/juke-ii/hybrid-143-n-connecta-ves00462462?apport=sans
2026-09-15T14:43:18,ves00457345,dacia,bigster,mild-hybrid-140-journey,SANS APPORT DACIA Bigster Mild Hybrid 140 Journey,,,Essence,Manuelle,100,366,https://auto-dispo.cic-leasing.fr/leasing-voiture/dacia/bigster/mild-hybrid-140-journey-ves00457345?apport=sans
2026-09-15T14:43:18,ves00461537,renault,captur-ii,tce-115-ch-techno,SANS APPORT RENAULT Captur II TCe 115 ch Techno,,,Essence,Manuelle,10,366,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/captur-ii/tce-115-ch-techno-ves00461537?apport=sans
2026-09-15T14:43:18,ves00449751,peugeot,2008-ii,hybrid-136-e-dcs6-gt,PEUGEOT 2008 II Hybrid 136 e-DCS6 GT,occasion,SANS APPORT,Hybride,Automatique,14355,366,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/hybrid-136-e-dcs6-gt-ves00449751?apport=sans
2026-09-15T14:43:18,ves00458989,nissan,juke-ii,hybrid-143-n-connecta,SANS APPORT NISSAN Juke II HYBRID 143 N-Connecta,,,Hybride,Automatique,100,367,https://auto-dispo.cic-leasing.fr/leasing-voiture/nissan/juke-ii/hybrid-143-n-connecta-ves00458989?apport=sans
2026-09-15T14:43:18,ves00446177,renault,clio-5,blue-dci-100-ch-gsr2-evolution,RENAULT Clio 5 Blue dCi 100 ch GSR2 Evolution,occasion,SANS APPORT,Diesel,Manuelle,18879,367,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/clio-5/blue-dci-100-ch-gsr2-evolution-ves00446177?apport=sans
2026-09-15T14:43:18,ves00446056,renault,clio-5,blue-dci-100-ch-gsr2-evolution,RENAULT Clio 5 Blue dCi 100 ch GSR2 Evolution,occasion,SANS APPORT,Diesel,Manuelle,17006,367,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/clio-5/blue-dci-100-ch-gsr2-evolution-ves00446056?apport=sans
2026-09-15T14:43:18,ves00410827,renault,clio-5,blue-dci-100-ch-gsr2-evolution,SANS APPORT RENAULT Clio 5 Blue dCi 100 ch GSR2 Evolution,,,Diesel,Manuelle,10,367,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/clio-5/blue-dci-100-ch-gsr2-evolution-ves00410827?apport=sans
2026-09-15T14:43:18,ves00449557,jeep,avenger,12-turbo-t3-110-ch-e-hybrid-bvr6-altitude,JEEP Avenger 1.2 Turbo T3 110 ch e-Hybrid BVR6 Altitude,occasion,SANS APPORT,Essence,Automatique,24716,367,https://auto-dispo.cic-leasing.fr/leasing-voiture/jeep/avenger/12-turbo-t3-110-ch-e-hybrid-bvr6-altitude-ves00449557?apport=sans
2026-09-15T14:43:18,ves00448046,peugeot,2008-ii,hybrid-145-e-dcs6-allure,SANS APPORT PEUGEOT 2008 II Hybrid 145 e-DCS6 Allure,,,Hybride,Automatique,10,367,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/hybrid-145-e-dcs6-allure-ves00448046?apport=sans
2026-09-15T14:43:18,ves00449114,volkswagen,taigo,10-tsi-116-dsg7-r-line,VOLKSWAGEN Taigo 1.0 TSI 116 DSG7 R-Line,occasion,SANS APPORT,Essence,Automatique,16290,367,https://auto-dispo.cic-leasing.fr/leasing-voiture/volkswagen/taigo/10-tsi-116-dsg7-r-line-ves00449114?apport=sans
2026-09-15T14:43:18,ves00461042,toyota,yaris-cross,130h-2wd-design,SANS APPORT TOYOTA Yaris Cross 130h 2WD Design,,,Hybride,Automatique,10,367,https://auto-dispo.cic-leasing.fr/leasing-voiture/toyota/yaris-cross/130h-2wd-design-ves00461042?apport=sans
2026-09-15T14:43:18,ves00412698,skoda,kamiq,10-tsi-evo-2-116-ch-dsg7-selection,SANS APPORT SKODA Kamiq 1.0 TSI Evo 2 116 ch DSG7 Selection,,,Essence,Automatique,10,368,https://auto-dispo.cic-leasing.fr/leasing-voiture/skoda/kamiq/10-tsi-evo-2-116-ch-dsg7-selection-ves00412698?apport=sans
2026-09-15T14:43:18,ves00424554,citroen,c4,hybride-145-ch-e-dcs6-max,SANS APPORT CITROEN C4,,,Hybride,Automatique,10,368,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c4/hybride-145-ch-e-dcs6-max-ves00424554?apport=sans
2026-09-15T14:43:18,ves00462738,alfa-romeo,tonale,15-ibrida-160-ch-vgt-tct7-veloce,ALFA ROMEO Tonale 1.5 Ibrida 160 ch VGT TCT7 Veloce,occasion,SANS APPORT,Hybride,Automatique,19625,368,https://auto-dispo.cic-leasing.fr/leasing-voiture/alfa-romeo/tonale/15-ibrida-160-ch-vgt-tct7-veloce-ves00462738?apport=sans
2026-09-15T14:43:18,ves00446200,renault,clio-5,blue-dci-100-ch-gsr2-evolution,RENAULT Clio 5 Blue dCi 100 ch GSR2 Evolution,occasion,SANS APPORT,Diesel,Manuelle,19731,368,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/clio-5/blue-dci-100-ch-gsr2-evolution-ves00446200?apport=sans
2026-09-15T14:43:18,ves00454755,peugeot,308-sw-iii,hybrid-145-e-dcs6-allure,PEUGEOT 308 SW III Hybrid 145 e-DCS6 Allure,occasion,SANS APPORT,Hybride,Automatique,19870,369,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/308-sw-iii/hybrid-145-e-dcs6-allure-ves00454755?apport=sans
2026-09-15T14:43:18,ves00446186,renault,clio-5,blue-dci-100-ch-gsr2-evolution,RENAULT Clio 5 Blue dCi 100 ch GSR2 Evolution,occasion,SANS APPORT,Diesel,Manuelle,21305,369,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/clio-5/blue-dci-100-ch-gsr2-evolution-ves00446186?apport=sans
2026-09-15T14:43:18,ves00459935,citroen,c5-aircross,145-ch-e-dcs6-plus,SANS APPORT CITROEN C5 AIRCROSS 145 ch e-DCS6 Plus,,,Essence,Automatique,10,369,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c5-aircross/145-ch-e-dcs6-plus-ves00459935?apport=sans
2026-09-15T14:43:18,ves00432585,renault,clio-5,tce-90-techno,SANS APPORT RENAULT Clio 5 TCe 90 Techno,,,Essence,Manuelle,10,369,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/clio-5/tce-90-techno-ves00432585?apport=sans
2026-09-15T14:43:18,ves00462983,mg,zs-iii,15-l-hybrid-197-ch-luxury,SANS APPORT MG ZS III 1.5 L Hybrid+ 197 ch Luxury,,,Hybride,Automatique,10,369,https://auto-dispo.cic-leasing.fr/leasing-voiture/mg/zs-iii/15-l-hybrid-197-ch-luxury-ves00462983?apport=sans
2026-09-15T14:43:18,ves00456578,peugeot,2008-ii,hybrid-145-e-dcs6-allure,SANS APPORT PEUGEOT 2008 II Hybrid 145 e-DCS6 Allure,,,Hybride,Automatique,10,369,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/hybrid-145-e-dcs6-allure-ves00456578?apport=sans
2026-09-15T14:43:18,ves00440361,citroen,c3-aircross-ii,hybride-145-ch-aut-max,SANS APPORT CITROEN C3 Aircross II,,,Hybride,Automatique,10,369,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-aircross-ii/hybride-145-ch-aut-max-ves00440361?apport=sans
2026-09-15T14:43:18,ves00458995,nissan,juke-ii,hybrid-143-n-connecta,SANS APPORT NISSAN Juke II HYBRID 143 N-Connecta,,,Hybride,Automatique,100,369,https://auto-dispo.cic-leasing.fr/leasing-voiture/nissan/juke-ii/hybrid-143-n-connecta-ves00458995?apport=sans
2026-09-15T14:43:18,ves00446184,citroen,c4,hybride-145-ch-e-dcs6-business,SANS APPORT CITROEN C4,,,Hybride,Automatique,10,370,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c4/hybride-145-ch-e-dcs6-business-ves00446184?apport=sans
2026-09-15T14:43:18,ves00445765,peugeot,3008-iii,hybrid-145-e-dcs6-allure,PEUGEOT 3008 III Hybrid 145 e-DCS6 Allure,occasion,SANS APPORT,Hybride,Automatique,1293,370,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/3008-iii/hybrid-145-e-dcs6-allure-ves00445765?apport=sans
2026-09-15T14:43:18,ves00443293,peugeot,3008-iii,hybrid-145-e-dcs6-allure,PEUGEOT 3008 III Hybrid 145 e-DCS6 Allure,occasion,SANS APPORT,Hybride,Automatique,24329,370,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/3008-iii/hybrid-145-e-dcs6-allure-ves00443293?apport=sans
2026-09-15T14:43:18,ves00452349,alfa-romeo,junior-electrique,elettrica-156-ch-,ALFA ROMEO Junior,occasion,SANS APPORT,Electrique,Automatique,5489,370,https://auto-dispo.cic-leasing.fr/leasing-voiture/alfa-romeo/junior-electrique/elettrica-156-ch--ves00452349?apport=sans
2026-09-15T14:43:18,ves00410491,skoda,kamiq,10-tsi-evo-2-116-ch-dsg7-selection,SANS APPORT SKODA Kamiq 1.0 TSI Evo 2 116 ch DSG7 Selection,,,Essence,Automatique,150,370,https://auto-dispo.cic-leasing.fr/leasing-voiture/skoda/kamiq/10-tsi-evo-2-116-ch-dsg7-selection-ves00410491?apport=sans
2026-09-15T14:43:18,ves00446216,renault,clio-5,blue-dci-100-ch-gsr2-evolution,RENAULT Clio 5 Blue dCi 100 ch GSR2 Evolution,occasion,SANS APPORT,Diesel,Manuelle,21116,370,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/clio-5/blue-dci-100-ch-gsr2-evolution-ves00446216?apport=sans
2026-09-15T14:43:18,ves00463114,toyota,yaris-cross,130h-2wd-design,SANS APPORT TOYOTA Yaris Cross 130h 2WD Design,,,Hybride,Automatique,10,370,https://auto-dispo.cic-leasing.fr/leasing-voiture/toyota/yaris-cross/130h-2wd-design-ves00463114?apport=sans
2026-09-15T14:43:18,ves00446218,renault,clio-5,blue-dci-100-ch-gsr2-evolution,RENAULT Clio 5 Blue dCi 100 ch GSR2 Evolution,occasion,SANS APPORT,Diesel,Manuelle,21735,370,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/clio-5/blue-dci-100-ch-gsr2-evolution-ves00446218?apport=sans
2026-09-15T14:43:18,ves00443292,peugeot,3008-iii,hybrid-145-e-dcs6-allure,PEUGEOT 3008 III Hybrid 145 e-DCS6 Allure,occasion,SANS APPORT,Hybride,Automatique,23689,370,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/3008-iii/hybrid-145-e-dcs6-allure-ves00443292?apport=sans
2026-09-15T14:43:18,ves00457124,jeep,avenger,12-turbo-t3-110-ch-e-hybrid-bvr6-summit,SANS APPORT JEEP Avenger 1.2 Turbo T3 110 ch e-Hybrid BVR6 Summit,,,Essence,Automatique,10,370,https://auto-dispo.cic-leasing.fr/leasing-voiture/jeep/avenger/12-turbo-t3-110-ch-e-hybrid-bvr6-summit-ves00457124?apport=sans
2026-09-15T14:43:18,ves00446054,renault,clio-5,blue-dci-100-ch-gsr2-evolution,RENAULT Clio 5 Blue dCi 100 ch GSR2 Evolution,occasion,SANS APPORT,Diesel,Manuelle,23350,371,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/clio-5/blue-dci-100-ch-gsr2-evolution-ves00446054?apport=sans
